,Unnamed: 0,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating,count_user,neg_words,pos_words
172,172,1161230,"United States, Illinois",Goose Island Bourbon County Stout,8909,Imperial Stout,Goose Island Beer Company &#40;AB-InBev&#41;,198,850.6,4.295959595959596,1406,1.9283075283968865,3.9312689384175648
173,173,1187202,"United States, Indiana",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,85,332.4,3.910588235294117,619,1.787375590002498,3.373670440053117
174,174,1213304,"United States, Iowa",Budweiser,473,Pale Lager,Anheuser-Busch InBev,37,66.2,1.7891891891891891,302,1.7949003451731431,3.6156608395501615
175,175,1231549,"United States, Kansas",North Coast Old Rasputin Russian Imperial Stout,680,Imperial Stout,North Coast Brewing Company,27,113.0,4.185185185185185,271,1.7617775095901038,3.917029438386277
176,176,1236013,"United States, Kentucky",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,31,120.4,3.883870967741936,291,1.4147935087532404,2.8289123255566206
177,177,1248485,"United States, Louisiana",Abita Turbodog,9,Brown Ale,Abita Brewing Company,25,84.10000000000001,3.3640000000000003,152,1.9057344854674,3.129178668063193
178,178,1258266,"United States, Maine",Guinness Draught,1267,Dry Stout,St. Jamess Gate (Diageo),16,58.9,3.68125,131,1.8514153425234137,4.051141744712196
179,179,1272935,"United States, Maryland",Heavy Seas Loose Cannon Hop3,51447,India Pale Ale (IPA),Heavy Seas Brewing Company,76,292.4,3.8473684210526313,532,1.7794901506373118,3.43051371185786
180,180,1294434,"United States, Massachusetts",Harpoon IPA,694,India Pale Ale (IPA),Harpoon Brewery,70,238.7,3.41,674,2.002419242895953,3.748339249241508
181,181,1319965,"United States, Michigan",New Holland Dragons Milk,14621,Imperial Stout,New Holland Brewing Company,131,516.2,3.940458015267176,1141,2.164158965927774,4.044821134984977
182,182,1357329,"United States, Minnesota",Surly Furious,55798,India Pale Ale (IPA),Surly Brewing Company,149,613.7,4.1187919463087255,768,1.7710333830207647,3.430963358408153
183,183,1363025,"United States, Mississippi",Lazy Magnolia Southern Pecan,44781,Brown Ale,Lazy Magnolia Brewing Company,18,69.3,3.85,85,1.501865671641791,3.286780383795309
184,184,1366457,"United States, Missouri",Boulevard Unfiltered Wheat Beer,114,Wheat Ale,Boulevard Brewing Company &#40;Duvel-Moortgat&#41;,68,227.1,3.3397058823529413,490,1.7562546247225166,3.699658020518769
185,185,1381131,"United States, Montana",Big Sky Moose Drool Brown Ale,5554,Brown Ale,Big Sky Brewing Company,10,35.3,3.53,85,1.8182549256131888,3.6437474869320474
186,186,1385515,"United States, Nebraska",Boulevard Unfiltered Wheat Beer,114,Wheat Ale,Boulevard Brewing Company &#40;Duvel-Moortgat&#41;,18,55.3,3.072222222222222,130,1.6984825299668451,3.13861259882683
187,187,1393664,"United States, Nevada",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,22,89.1,4.05,150,1.1906573991379643,3.0542461072496407
188,188,1421487,"United States, New Hampshire",Smuttynose Old Brown Dog,104,Brown Ale,Smuttynose Brewing Company,29,102.0,3.5172413793103448,178,2.0747618618347907,3.688842813786472
189,189,1429898,"United States, New Jersey",Brooklyn Black Chocolate Stout,531,Imperial Stout,Brooklyn Brewery,117,470.8,4.023931623931624,835,1.4757638954719248,2.9416058394160585
190,190,1463485,"United States, New Mexico",La Cumbre Elevated IPA,133713,India Pale Ale (IPA),La Cumbre Brewing Company,17,74.9,4.405882352941177,115,1.8546511627906976,3.4111027756939234
191,191,1471025,"United States, New York",Brooklyn Black Chocolate Stout,531,Imperial Stout,Brooklyn Brewery,166,666.4,4.014457831325301,1352,1.6616377292727365,3.327992337771761
192,192,1526522,"United States, North Carolina",Rogue Dead Guy Ale,589,Heller Bock,Rogue Ales,83,293.5,3.536144578313253,726,1.7968256596454295,3.38791054131728
193,193,1534625,"United States, North Dakota",Budweiser,473,Pale Lager,Anheuser-Busch InBev,8,13.3,1.6625,47,1.1103047895500726,2.7503628447024675
194,194,1549645,"United States, Ohio",Great Lakes Edmund Fitzgerald Porter,1226,Porter,Great Lakes Brewing &#40;Ohio&#41;,154,624.6,4.055844155844156,1158,1.7985976540834423,3.795358837586705
195,195,1573650,"United States, Oklahoma",Chimay Bleue (Blue) / Grande Réserve,53,Belgian Strong Ale,Chimay,29,121.1,4.175862068965517,213,1.7886112619952923,3.4254028607640774
196,196,1593550,"United States, Oregon",Rogue Dead Guy Ale,589,Heller Bock,Rogue Ales,67,241.6,3.6059701492537313,572,1.5713845704929723,3.3416603174088544
197,197,1640796,"United States, Pennsylvania",Yuengling Traditional Lager,884,Amber Lager/Vienna,Yuengling Brewery,326,999.8,3.066871165644172,1632,1.787419077368826,3.1878491556883515
198,198,1641250,"United States, Rhode Island",Ayinger Celebrator Doppelbock,1090,Doppelbock,Brauerei Aying,13,55.5,4.269230769230769,103,2.103429938846052,3.641052911459718
199,199,1644552,"United States, South Carolina",Budweiser,473,Pale Lager,Anheuser-Busch InBev,27,50.1,1.855555555555556,265,1.8189861628525807,3.821979776476849
200,200,1651035,"United States, South Dakota",Anchor Steam Beer,46,California Common,Anchor Brewing Company,6,21.7,3.6166666666666663,44,1.338801261829653,2.5097791798107254
201,201,1653125,"United States, Tennessee",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,55,215.0,3.909090909090909,337,1.6294026164120392,2.9629677065227336
202,202,1700233,"United States, Texas",Shiner Bock,909,Amber Lager/Vienna,Spoetzl Brewery &#40;Gambrinus Company&#41;,224,667.5,2.9799107142857144,1423,1.4510006751692568,2.6054781623007788
203,203,1715005,"United States, Utah",Uinta Anniversary Barley Wine,3716,Barley Wine,Uinta Brewing Company,14,52.4,3.742857142857143,109,1.2356456432205445,2.747314867156585
204,204,1715827,"United States, Vermont",Alchemist Heady Topper,32329,Imperial IPA,The Alchemist,22,98.4,4.472727272727273,114,2.6582401555663586,5.816723383568303
205,205,1726260,"United States, Virginia",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,104,411.8,3.9596153846153848,720,1.6484380742374127,3.086016170525542
206,206,1782269,"United States, Washington",North Coast Old Rasputin Russian Imperial Stout,680,Imperial Stout,North Coast Brewing Company,117,488.7,4.176923076923077,976,1.7717139924734862,3.6311666096476234
207,207,1799105,"United States, West Virginia",Coors Light,707,Pale Lager,Coors Brewing Company &#40;MillerCoors&#41;,12,18.3,1.525,101,1.20343878954608,2.5281980742778543
208,208,1819633,"United States, Wisconsin",New Glarus Spotted Cow,7453,Cream Ale,New Glarus Brewing Company,137,451.7,3.297080291970803,838,1.929131851914767,3.515336185754175
209,209,1830623,"United States, Wyoming",Alaskan Amber,13,Altbier,Alaskan Brewing Company,7,26.6,3.8,29,2.2034334763948498,4.937339055793991
210,210,1855052,Unknown,Guinness Draught,1267,Dry Stout,St. Jamess Gate (Diageo),484,1791.3,3.70103305785124,19582,Unknown,Unknown
211,211,1891987,Uruguay,FNC Norteña,38334,Pale Lager,FNC S.A. (InBev),3,6.1,2.033333333333333,10,0.3734177215189873,0.7468354430379747
212,212,1892056,Uzbekistan,Cox & Holbrook Stowmarket Porter,39302,Porter,Cox & Holbrook,1,4.9,4.9,2,0.3333333333333333,2.0
213,213,1892059,Vanuatu,Tooheys Red Bitter,1511,Pale Lager,Tooheys (Lion Co.),1,5.0,5.0,2,2.5,2.0
214,214,1892061,Vatican City,Loddon Ferrymans Gold,25252,Golden Ale/Blond Ale,Loddon Brewery,1,4.6,4.6,3,0.0,3.0
215,215,1894188,Venezuela,Solera,8567,Premium Lager,Empresas Polar,4,14.0,3.5,12,5.242890995260663,7.197472353870458
216,216,1894567,Vietnam,Dai Viet Bia Vang,62543,Pale Lager,Huong Sen Brewery,2,6.199999999999999,3.1,8,1.9230769230769231,3.4871794871794872
217,217,1894593,Virgin Islands (British),Skol Super,21921,Malt Liquor,Carlsberg UK,1,5.0,5.0,1,3.0,11.0
218,218,1894594,Virgin Islands (U.S.),21st Amendment Monks Blood,100023,Belgian Strong Ale,21st Amendment Brewery,1,4.5,4.5,15,0.9743589743589745,3.076923076923077
219,219,1894802,Wales,Brains Dark (Bottle),6783,Mild Ale,Brains,5,17.5,3.5,133,1.4050073637702505,3.2533136966126657
220,220,1895798,Yemen,Wildcraft Wild Awake Coffee IPA,488789,Spice/Herb/Vegetable,Wildcraft Brewing,1,0.6,0.6,1,7.5,0.0
221,221,1895800,Zambia,Carling Black Label Beer (South Africa),14974,Pale Lager,South African Breweries (SABMiller),1,5.0,5.0,2,3.5,3.5
222,222,1895802,Zimbabwe,Atlas Super Strong 12%,84209,Malt Liquor,United Dutch Breweries,1,4.7,4.7,4,1.3333333333333333,2.333333333333333
