,country,neg_words,pos_words,nb_review
83,"United States, Indiana",3.3526315789473684,7.31417004048583,2470
84,"United States, Iowa",4.59803386127799,8.583287820862916,1831
85,"United States, Kansas",3.1979166666666665,6.649305555555555,576
86,"United States, Kentucky",3.840408163265306,7.716734693877551,2450
87,"United States, Louisiana",3.09601706970128,6.460170697012802,1406
88,"United States, Maine",2.851037851037851,6.4945054945054945,1638
89,"United States, Maryland",3.3963144390016327,7.935852577560065,4287
90,"United States, Massachusetts",3.64706255551326,7.603540159878188,15762
91,"United States, Michigan",4.406464250734574,10.4013222331048,4084
92,"United States, Minnesota",3.5927357032457494,7.69532457496136,5176
93,"United States, Mississippi",2.4597156398104265,5.4628751974723535,633
94,"United States, Missouri",2.9133858267716537,6.903215223097113,3048
95,"United States, Montana",3.5798319327731094,6.878151260504202,238
96,"United States, Nebraska",3.786355475763016,7.917414721723519,557
97,"United States, Nevada",3.1127577319587627,6.37951030927835,1552
98,"United States, New Hampshire",3.3274136260897644,6.619954794962867,3097
99,"United States, New Jersey",3.3758140911782117,7.451598579040852,6756
100,"United States, New Mexico",3.2319109461966606,6.920222634508349,539
101,"United States, New York",3.791011235955056,7.915880149812734,13350
102,"United States, North Carolina",3.225857799787761,6.798019101521047,5654
103,"United States, North Dakota",4.070422535211268,7.23943661971831,71
104,"United States, Ohio",3.5689869835880024,8.022184493491794,8835
105,"United States, Oklahoma",3.361890694239291,6.617429837518464,677
106,"United States, Oregon",3.4388809410268637,7.51311397234144,6291
107,"United States, Pennsylvania",3.6387643248629797,7.447247135027404,16056
108,"United States, Rhode Island",2.9797921478060045,7.013856812933025,1732
109,"United States, South Carolina",3.2204444444444444,7.559111111111111,2250
110,"United States, South Dakota",3.5161290322580645,6.483870967741935,31
111,"United States, Tennessee",3.448963929393707,7.897927858787414,1303
112,"United States, Texas",3.168755897021162,6.828413532821135,7419
113,"United States, Utah",2.975,7.425,120
114,"United States, Vermont",2.9965576592082614,7.1247848537005165,1162
115,"United States, Virginia",3.412828697370421,7.998176014591883,6579
116,"United States, Washington",3.079187147824002,6.964392758662031,16682
117,"United States, West Virginia",3.7242562929061784,8.577803203661327,874
118,"United States, Wisconsin",3.5696012039127165,7.382242287434161,2658
119,"United States, Wyoming",3.8214285714285716,7.564285714285714,280
120,Uruguay,1.0,7.0,1
121,Vanuatu,2.0,5.0,1
122,Vietnam,1.0,2.0,1
123,Wales,3.875,5.25,8
